userId,movieId,rating,timestamp
1,19010,3.0,1778457628
1,5381,3.5,1779498177
1,16177,3.5,1767641576
1,3560,4.5,1768471295
1,4059,3.0,1774941058
1,15022,4.5,1753350787
1,9523,4.5,1763720299
1,17393,3.0,1772967097
1,116,3.0,1755363686
1,3976,4.0,1763933813
1,12750,4.0,1767975331
2,1063,3.0,1762404935
2,11900,3.0,1774613526
2,6341,4.0,1750961581
2,18653,3.5,1765207722
2,18292,3.0,1751976842
2,13844,4.0,1762596613
2,13764,3.5,1774243694
2,5920,3.0,1754930946
2,1700,3.0,1774784917
2,6690,2.5,1763125768
3,463,2.5,1761494850
3,8676,3.0,1758326841
3,14189,2.0,1761403562
3,3073,2.5,1769977821
3,11193,3.0,1780182839
3,1711,3.5,1756490310
3,1593,3.5,1772809369
3,6934,3.5,1765722975
3,8087,3.0,1780048669
3,18386,4.5,1751183755
3,8647,2.5,1758309587
3,16397,3.0,1767944872
3,1432,2.5,1769690987
3,15483,4.0,1759640281
3,5890,4.0,1770041267
3,8057,4.0,1768171545
3,6255,2.0,1775289852
3,8379,4.0,1781382921
3,12322,2.5,1781274636
3,10457,4.0,1752046675
3,583,4.0,1762939895
3,11306,4.0,1769814380
3,6862,4.5,1757929777
3,7069,4.0,1754473124
3,7627,4.0,1776924961
3,13262,3.5,1774951278
3,18730,4.5,1774350405
3,17010,4.0,1760602475
4,942,4.0,1760511733
4,13234,3.0,1761460423
4,9108,4.0,1780105881
4,4288,3.0,1781974046
4,16127,3.5,1763945782
4,16782,2.0,1762606283
4,13821,3.5,1754804298
4,15609,3.0,1773403036
4,907,2.5,1763442966
4,9010,2.5,1768177069
4,921,4.0,1756264665
4,12844,4.0,1760763692
4,14273,4.5,1757377950
4,9348,5.0,1774000485
4,16108,4.0,1759112979
4,11469,4.0,1758770340
4,7920,3.0,1752590844
4,17670,3.0,1768028242
4,237,2.0,1751207028
4,10439,4.0,1761299678
4,11048,2.0,1770759734
4,6266,3.5,1760433212
4,147,3.5,1751647958
4,18966,3.0,1770434084
5,18890,2.5,1772141313
5,11230,4.5,1756892732
5,11161,2.5,1767023672
5,18217,3.0,1753992686
5,1226,2.0,1772435277
5,13568,3.5,1753875162
5,13634,3.5,1770187222
